,address,lat,long
330,106 BT PURMEI RD,1.27298937,103.8256268
3917,106 GANGSA RD,1.377902,103.7674123
1230,106 HENDERSON CRES,1.289426079,103.8222768
6624,106 HOUGANG AVE 1,1.353702971,103.8906808
2997,106 JLN DUSUN,1.328557712,103.8447968
2618,106 JLN RAJAH,1.328476558,103.8546989
1673,106 JURONG EAST ST 13,1.337249651,103.7376747
4145,106 LENGKONG TIGA,1.325088459,103.9100088
3314,106 PASIR RIS ST 12,1.36801255,103.9576531
998,106 POTONG PASIR AVE 1,1.334100336,103.8681713
7010,106 RIVERVALE WALK,1.382497292,103.9003213
1399,106 SERANGOON NTH AVE 1,1.370244621,103.870823
2933,106 SIMEI ST 1,1.341885217,103.9508335
1603,106 SPOTTISWOODE PK RD,1.273566738,103.8340582
951,106 TAMPINES ST 11,1.347539192,103.9476754
4405,106 TECK WHYE LANE,1.377957988,103.7529316
1732,106 TOWNER RD,1.321020012,103.8609978
2510,106 WOODLANDS ST 13,1.436769434,103.7822242
6326,106 YISHUN RING RD,1.431478614,103.827452
7144,106A DEPOT RD,1.28061365,103.8109679
7902,106A PUNGGOL FIELD,1.396604861,103.9083441
7112,106B DEPOT RD,1.280649504,103.8107509
7891,106B PUNGGOL FIELD,1.397094532,103.9079554
7984,106C PUNGGOL FIELD,1.397366642,103.9075622
7783,106D PUNGGOL FIELD,1.397626067,103.9073581
2425,107 ALJUNIED CRES,1.318964653,103.8842872
1508,107 ANG MO KIO AVE 4,1.371384001,103.8373814
137,107 BEDOK NTH RD,1.332317407,103.9363013
2367,107 BEDOK RESERVOIR RD,1.329870289,103.9092204
2962,107 BISHAN ST 12,1.346417614,103.8479207
1207,107 BT BATOK WEST AVE 6,1.347810885,103.7466088
2840,107 BT PURMEI RD,1.273101655,103.8245086
1222,107 DEPOT RD,,
3500,107 GANGSA RD,1.377984697,103.7667147
2399,107 JLN BT MERAH,1.279836902,103.8247578
2464,107 JLN RAJAH,1.327853327,103.8549937
5156,107 JURONG EAST ST 13,1.337786345,103.7381319
4444,107 LENGKONG TIGA,1.324954599,103.9101751
2068,107 LOR 1 TOA PAYOH,1.341219489,103.8472888
4175,107 PASIR RIS ST 12,1.367509667,103.9575189
999,107 POTONG PASIR AVE 1,1.334709369,103.8684132
6932,107 RIVERVALE WALK,1.383005013,103.9002725
2480,107 SERANGOON NTH AVE 1,1.369900404,103.8702249
3936,107 SIMEI ST 1,1.34216114,103.9504899
2057,107 TAMPINES ST 11,1.348364218,103.9481587
4369,107 TECK WHYE LANE,1.378055381,103.7535882
