,town_geocode
341,"('1.28675845516814', '103.817346147649')"
342,"('1.28542199032975', '103.81694518286')"
343,"('1.28607626461323', '103.817832701813')"
344,"('1.28640350234512', '103.809741989834')"
345,"('1.28675654367639', '103.810121713045')"
346,29 HAVELOCK RDunavailable
347,"('1.28809868332674', '103.831032031024')"
348,"('1.28766976882827', '103.828202949008')"
349,"('1.2881713453856', '103.828454024092')"
350,"('1.28789877031281', '103.828203629292')"
351,"('1.28874603704088', '103.828824191655')"
352,"('1.28922928913172', '103.809193412567')"
353,"('1.28835977080873', '103.827056911096')"
354,"('1.28763869859867', '103.831443269057')"
355,"('1.2846906958963', '103.831590918207')"
356,"('1.28420581657007', '103.831063385283')"
357,"('1.27351780057463', '103.822480988448')"
358,"('1.2811530312289', '103.828856188305')"
359,"('1.28277443239482', '103.822612454246')"
360,111 BT MERAH VIEWunavailable
361,"('1.27942671435022', '103.826086916123')"
362,"('1.27239853587858', '103.825625504182')"
363,"('1.27380415706758', '103.827057699596')"
364,"('1.27507181850164', '103.825887190072')"
365,"('1.27477013494182', '103.826932277494')"
366,"('1.27463331496043', '103.812586604999')"
367,"('1.27359718662062', '103.811942133272')"
368,"('1.27558342805007', '103.810314018607')"
369,"('1.27351337938811', '103.810145340012')"
370,"('1.29071799751539', '103.821625207737')"
371,"('1.28974209684545', '103.821375681569')"
372,"('1.27815614255865', '103.829524327849')"
373,"('1.27688307363768', '103.840085627903')"
374,"('1.28348511207749', '103.827043785507')"
375,"('1.27535201369639', '103.826950180582')"
376,"('1.27234669758392', '103.810554542558')"
377,"('1.27573843980494', '103.80918938464')"
378,"('1.27611797685125', '103.809589962738')"
379,"('1.27413297268021', '103.809632649822')"
380,"('1.31641190098174', '103.805373811937')"
381,"('1.31883225284458', '103.808061967625')"
382,"('1.31731971195622', '103.808057179008')"
383,"('1.2873776268224', '103.839407060595')"
384,22 OUTRAM PKunavailable
385,12 SHORT STunavailable
386,13 SHORT STunavailable
387,"('1.30320667141798', '103.850493368737')"
388,"('1.28521219232764', '103.845766165764')"
389,"('1.29900941828595', '103.852284903161')"
390,"('1.30093267323152', '103.853991004773')"
391,"('1.30613246548155', '103.851112543389')"
392,"('1.2862352148315', '103.842303340846')"
393,"('1.30743547948389', '103.854713903431')"
394,"('1.30512222179237', '103.851438822181')"
395,"('1.30346096156272', '103.850709313633')"
396,"('1.30370879401395', '103.850537238747')"
397,"('1.29685311080014', '103.853347534791')"
398,"('1.30568031708633', '103.850857724971')"
